Ano,Área de Avaliação,Grau Acadêmico,Organização Acadêmica,Categoria Administrativa,Modalidade de Ensino,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Conceito Enade (Faixa)
2023,ARQUITETURA E URBANISMO,Bacharelado,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Vilhena,RO,29,26,3
2023,ODONTOLOGIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,23,23,2
2023,ENGENHARIA MECÂNICA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,3,3,3
2023,ENGENHARIA ELÉTRICA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,2,2,2
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,43,42,3
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,11,11,3
2023,FISIOTERAPIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,7,7,2
2023,AGRONOMIA,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Vilhena,RO,20,18,3
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Vilhena,RO,4,3,3
2023,MEDICINA VETERINÁRIA,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Vilhena,RO,23,22,3
2023,MEDICINA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,40,39,3
2023,NUTRIÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,23,22,2
2023,FARMÁCIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,24,22,3
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,16,14,3
2023,ENGENHARIA AMBIENTAL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,1,0,SC
2023,FISIOTERAPIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,11,11,2
2023,ARQUITETURA E URBANISMO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,7,7,3
2023,ENGENHARIA DE COMPUTAÇÃO I,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,11,11,2
2023,BIOMEDICINA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Vilhena,RO,14,10,2
2023,ENFERMAGEM,Bacharelado,Universidade,Pública Federal,Educação Presencial,Cruzeiro do Sul,AC,30,26,4
2023,AGRONOMIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Cruzeiro do Sul,AC,52,44,2
2023,ENGENHARIA FLORESTAL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Cruzeiro do Sul,AC,56,34,1
2023,ENGENHARIA CIVIL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,44,37,4
2023,FISIOTERAPIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,33,16,3
2023,FARMÁCIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,31,20,2
2023,BIOMEDICINA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,26,7,3
2023,ENFERMAGEM,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,50,24,2
2023,ENGENHARIA CIVIL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,43,32,2
2023,NUTRIÇÃO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,23,21,4
2023,ODONTOLOGIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,35,32,1
2023,ENGENHARIA ELÉTRICA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,5,2,1
2023,ENGENHARIA CIVIL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,13,11,2
2023,MEDICINA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,76,72,1
2023,BIOMEDICINA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,17,17,2
2023,ARQUITETURA E URBANISMO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,6,4,3
2023,FISIOTERAPIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,9,9,3
2023,ENFERMAGEM,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,43,41,2
2023,ODONTOLOGIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,31,30,2
2023,FONOAUDIOLOGIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,13,13,1
2023,FARMÁCIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Rio Branco,AC,23,23,2
2023,NUTRIÇÃO,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,38,25,3
2023,MEDICINA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,40,40,3
2023,ENGENHARIA ELÉTRICA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,37,28,3
2023,ENGENHARIA FLORESTAL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,45,30,4
2023,MEDICINA VETERINÁRIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,64,55,4
2023,AGRONOMIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,60,39,4
2023,ENFERMAGEM,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rio Branco,AC,26,26,4
2023,ZOOTECNIA,Bacharelado,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Sena Madureira,AC,78,69,2
2023,TECNOLOGIA EM GESTÃO AMBIENTAL,Tecnológico,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Xapuri,AC,19,15,1
2023,NUTRIÇÃO,Bacharelado,Universidade,Pública Federal,Educação Presencial,Coari,AM,26,26,2
2023,ENFERMAGEM,Bacharelado,Universidade,Pública Federal,Educação Presencial,Coari,AM,23,23,3
2023,MEDICINA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Coari,AM,21,20,2
2023,FISIOTERAPIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Coari,AM,12,11,2
2023,AGRONOMIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Humaitá,AM,13,12,4
2023,ENGENHARIA AMBIENTAL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Humaitá,AM,18,16,3
2023,ENGENHARIA AMBIENTAL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Itacoatiara,AM,19,13,2
2023,ENGENHARIA FLORESTAL,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Itacoatiara,AM,23,23,2
2023,AGRONOMIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Itacoatiara,AM,31,30,3
2023,FARMÁCIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Itacoatiara,AM,18,18,3
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Universidade,Pública Federal,Educação Presencial,Itacoatiara,AM,27,25,3
2023,ODONTOLOGIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Manaus,AM,27,24,5
2023,ARQUITETURA E URBANISMO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,17,14,2
2023,FARMÁCIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,43,25,2
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,13,3,3
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,1,1,SC
2023,NUTRIÇÃO,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,34,25,3
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,108,59,3
2023,BIOMEDICINA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,55,43,1
2023,ENGENHARIA MECÂNICA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Manaus,AM,1,0,SC
2023,ENGENHARIA MECÂNICA,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,9,6,3
2023,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,21,18,4
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,6,6,4
2023,ENFERMAGEM,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,37,34,5
2023,ODONTOLOGIA,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,40,30,4
2023,MEDICINA,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,64,63,2
2023,ENGENHARIA CIVIL,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,32,19,4
2023,ENGENHARIA DE COMPUTAÇÃO I,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,25,19,4
2023,ENGENHARIA ELÉTRICA,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,33,31,4
2023,ENGENHARIA QUÍMICA,Bacharelado,Universidade,Pública Estadual,Educação Presencial,Manaus,AM,12,12,3
2023,BIOMEDICINA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Manaus,AM,12,4,1
2023,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Tecnológico,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Manaus,AM,30,17,2
2023,FARMÁCIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Manaus,AM,28,28,1
2023,ENGENHARIA ELÉTRICA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação a Distância,Manaus,AM,29,28,1
2023,ENGENHARIA CIVIL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação a Distância,Manaus,AM,48,46,2
2023,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Tecnológico,Centro Universitário,Privada com fins lucrativos,Educação a Distância,Manaus,AM,13,1,SC
